Date,Demand
30-03-2020,1700
31-03-2020,1050
01-04-2020,10000
02-04-2020,14000
03-04-2020,10000
04-04-2020,8000
05-04-2020,8000
06-04-2020,10000
07-04-2020,10000
08-04-2020,1050
09-04-2020,1550
10-04-2020,1300
11-04-2020,1100
12-04-2020,1700
13-04-2020,1200
14-04-2020,1600
15-04-2020,1000
16-04-2020,2000
17-04-2020,1700
18-04-2020,1600
19-04-2020,1000
20-04-2020,1750
21-04-2020,1575
22-04-2020,1500
23-04-2020,1750
24-04-2020,1050
25-04-2020,1550
26-04-2020,1700
27-04-2020,1600
28-04-2020,1875
29-04-2020,1875
30-04-2020,1700
01-05-2020,10000
02-05-2020,14000
03-05-2020,10000
04-05-2020,8000
05-05-2020,8000
06-05-2020,10000
07-05-2020,10000
08-05-2020,1050
09-05-2020,1550
10-05-2020,1300
11-05-2020,1100
12-05-2020,1700
13-05-2020,1200
14-05-2020,1600
15-05-2020,1000
16-05-2020,2000
17-05-2020,1700
18-05-2020,1600
19-05-2020,1000
20-05-2020,1750
21-05-2020,1575
22-05-2020,1500
23-05-2020,1750
24-05-2020,1050
25-05-2020,1550
26-05-2020,1700
27-05-2020,1600
28-05-2020,1875
29-05-2020,1875
30-05-2020,1700
31-05-2020,1050
01-06-2020,10000
02-06-2020,14000
03-06-2020,10000
04-06-2020,8000
05-06-2020,8000
06-06-2020,10000
07-06-2020,10000
08-06-2020,1050
09-06-2020,1550
10-06-2020,1300
11-06-2020,1100
12-06-2020,1700
13-06-2020,1200
14-06-2020,1600
15-06-2020,1000
16-06-2020,2000
17-06-2020,1700
18-06-2020,1600
19-06-2020,1000
20-06-2020,1750
21-06-2020,1575
22-06-2020,1500
23-06-2020,1750
24-06-2020,1050
25-06-2020,1550
26-06-2020,1700
27-06-2020,1600
28-06-2020,1875
29-06-2020,1875
30-06-2020,1700
