DATE,DEMAND
2020-06-15,500
2020-06-16,900
2020-06-17,500
2020-06-18,100
2020-06-19,500
2020-06-20,1000
2020-06-21,1500
2020-06-22,500
2020-06-23,350
2020-06-24,1000
2020-06-25,500
2020-06-26,700
2020-06-27,1200
2020-06-28,700
2020-06-29,575
2020-06-30,500
